workerid,hitId,condition,How Creative?-1,Increased AI use makes you feel-1,q1,q2,q3,q4,Hide Time,Page Load,q6,q7,How Creative?-2
0a443d422e42a196e2b267a8b0a42b90a488f7ae9661d9776a96dc5c2df774a7,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,50,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:20:24.546Z,picking a single word and finding associated words and then checking if they fit with the others,no,50
0a443d422e42a196e2b267a8b0a42b90a488f7ae9661d9776a96dc5c2df774a7,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,50,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:20:24.546Z,picking a single word and finding associated words and then checking if they fit with the others,no,50
f05f3bd688f9aaf86e041733f0e9222975f6fc998ff7ee598c709f3dcf37132b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,75,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Very helpful,0.0,2024-09-09T15:31:20.897Z,Thinking of items related to the words.,No,78
485652fa9767a0dacb10dd7022e45fea38b74d879d0af56e36aa2af4e6d1f51b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,33,More concerned than excited,Somewhat easy,More concerned than excited,Agree,A little helpful,0.0,2024-09-09T15:39:00.705Z,memory - english is my first language,no technical issues,33
92cad930588bb65b4ed475d9c85a0d99e915b161196fb7db3598aa830771b5fd,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,76,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,A little helpful,0.0,2024-09-09T15:20:59.826Z,paniced,no i paniced,76
4ecfe7decaf6d4cd88ab151d8d3143d6154277d67ff7970b8e981937636d69c8,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,66,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:14:22.508Z,Only to think clearly.,No,66
a2b4a4f4a580d36f51bf91e08afeda90c2cdc1eb348256312a8e96603420db68,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,50,More concerned than excited,Very difficult,More concerned than excited,Agree,Not at all helpful,0.0,2024-09-09T15:08:19.571Z,No strategy. It was hard.,No,50
40cfc0dedc842f11c5fc56b142e3cb2eaad655da9ad102a1bc15e27b78dd37b6,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,54,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:15:14.884Z,No particular strategy.,No.,54
2738bb05d614ea55dd51d7bca790bf2892aa360f3c43cf4a5434a1e4f2f7220c,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,70,More concerned than excited,Somewhat easy,More concerned than excited,Agree,Very helpful,0.0,2024-09-09T15:07:53.190Z,I used the easiest word of the 3 and tried to match it with other words then looked if it fits the other 2,None at all,70
941542b3019864c4efb5b20195cc57810d57189a89b3a9d7c1957146b5c85b74,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,68,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,A little helpful,0.0,2024-09-09T15:09:02.611Z,repeating words in my head and outloud trying to find one that fit all the three words,no,40
