assignment_id,hit_id,worker_id,start_time,condition,phase,item_order,item_name,response,response_order,originality
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Used as a plate ,0,3.2
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Used as a scarf ,1,3.0
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Used as a tissue ,2,3.0
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Cut up to make sleeves ,3,2.5
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Can be used to tie someone's hands ,4,2.5
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Used as a blanket ,5,2.5
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Can be used to hold clothing ,6,2.0
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Can be used to hold any item ,7,2.5
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,2,Tire,Can be used as a method of transport by placing someone inside the wheel ,0,3.0
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,2,Tire,Can be used as a bowling pin ,1,3.5
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,2,Tire,Can be used to hold food ,2,3.0
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,2,Tire,Can use it to transport food ,3,2.2
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used as a weapon ,0,2.5
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used as a shield ,1,3.5
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used as a seat ,2,2.0
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used as a ladder ,3,3.0
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used as a door ,4,3.0
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used as a barrier ,5,2.5
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used for gymnastics ,6,3.0
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can use one of the table legs as a stick-like object ,7,3.0
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Test,4,Shoe,Can be used as a basketball ,0,3.0
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Test,4,Shoe,Can be used as a football ,1,3.0
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Test,4,Shoe,Can be used as a tennis ball ,2,3.2
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,2024-09-08T14:33:17.424Z,Absent,Test,4,Shoe,Can be used to put drinks in ,3,3.0
